"","ID","fundBakers","fundUSDRate","fundUSDPledged","creator","city","state","isStaffpick","categoryParent","categoryChild","fundUSDGoal","fundLength","descriptionLength","hasVideo","amountFAQ","amountUpdates","amountComments","amountImages","amountGifs","amountVideos","amountRewards","lowestReward","url","name","blurb","fundState","fundGoal","fundPledged","country","fundCurrency","fundCurrencySymbol","fundEnd","fundStart"
"793",1043689512,259,1,7623,"Mike Willcox","Islamorada","FL",FALSE,"games","playing cards",6000,30,386,FALSE,0,8,41,4,0,0,8,15,"https://www.kickstarter.com/projects/676405680/a-deck-of-skeletons-vintage-playing-cards?ref=category","A Deck of Skeletons. Vintage Playing Cards.","An epic and timeless hand illustrated deck of skeleton gypsies, sailors, thieves, and lovers.",TRUE,6000,7623,"US","USD","$",2014-10-09,2014-09-09
"794",1043860964,94,1.61194906,2469.50595992,"Ashley Acton","London","England",FALSE,"games","playing cards",8059.7453,35,623,TRUE,0,1,14,12,0,0,18,1,"https://www.kickstarter.com/projects/1868828187/the-grain-deck-2nd-edition-printed-by-epcc?ref=category","The Grain Deck 2nd Edition Playing Cards - Printed By EPCC","The Grain Back Deck - A perfect collectors item and magicians toy",FALSE,5000,1532,"GB","GBP","£",2014-11-18,2014-10-14
"796",1045999444,26,1,593,"Jason Nguyen","West Covina","CA",FALSE,"games","playing cards",100,11,224,FALSE,1,12,15,0,3,0,4,10,"https://www.kickstarter.com/projects/jasonnguyendesigns/samples-of-different-playing-cards-back-designs?ref=category","Samples of Different Playing Cards Back Designs By J.N.D.","These are sample cards of all of the back designs made by Jason Nguyen Designs. All designed by Jason Nguyen. Printed by MPC.",TRUE,100,593,"US","USD","$",2016-06-27,2016-06-16
"798",1047030203,87,1,2174,"Doug Frye","Vienna","VA",FALSE,"games","playing cards",1500,15,966,TRUE,1,24,37,28,0,0,24,1,"https://www.kickstarter.com/projects/1761852825/sir-gold-playing-cards-and-prints?ref=category","Æsir Gold Playing Cards and Prints","Norse gods come to life in art prints and playing cards!",TRUE,1500,2174,"US","USD","$",2015-04-08,2015-03-24
"799",1050319682,135,1,4097,"Collectable Playing Cards","Huntley","IL",FALSE,"games","playing cards",4000,30,303,FALSE,0,1,28,14,1,0,6,11,"https://www.kickstarter.com/projects/2104052526/gluttony-playing-cards?ref=category","Gluttony Playing Cards","Feast like a King with Gluttony Playing Cards",TRUE,4000,4097,"US","USD","$",2016-08-31,2016-08-01
"801",1053750812,13,1.12939986,440.4659454,"Taila Rein (deleted)","España","Madrid",FALSE,"games","playing cards",2710.559664,19,279,FALSE,0,0,0,7,1,0,3,4,"https://www.kickstarter.com/projects/70585267/illusion-0?ref=category","Illusion","Limited edition custom stylish playing card decks designed by Taila Rein
exclusive kickstarter",FALSE,2400,390,"ES","EUR","€",2016-03-01,2016-02-11
"802",1054377857,133,1,10492,"Michael Scott","Mesa","AZ",FALSE,"games","playing cards",10000,15,538,FALSE,0,7,12,22,0,0,13,10,"https://www.kickstarter.com/projects/1500444958/1876-triplicate-dragon-playing-cards-restoration-r?ref=category","1876 Triplicate Dragon Playing Cards Restoration (Relaunch)","Restoration of the original Dragon Back playing cards in Red and Blue, originally printed in 1876.",TRUE,10000,10492,"US","USD","$",2016-11-09,2016-10-25
"803",1056154947,15,1,234,"Mark Allender","44221","OH",FALSE,"games","playing cards",7200,30,149,TRUE,0,3,2,4,0,0,4,5,"https://www.kickstarter.com/projects/markallender/curious-keyholes-playing-cards-npcc?ref=category","Curious Keyholes Playing Cards (NPCC)","A minimalist deck by Mark Allender",FALSE,7200,234,"US","USD","$",2017-07-27,2017-06-27
"808",1062357891,158,1,3770,"Tom Anderle","New York","NY",FALSE,"games","playing cards",9000,35,980,FALSE,0,1,8,17,0,0,10,12,"https://www.kickstarter.com/projects/286203767/olympus-playing-cards-deck?ref=category","Olympus Playing Cards Deck","The Olympus Playing Cards are inspired by the Greek Gods and Goddesses. Printed by Legends Playing Card Company.",FALSE,9000,3770,"US","USD","$",2015-12-16,2015-11-11
"810",1067169715,260,1,11699.06,"John Littleboy","Palo Alto","CA",TRUE,"games","playing cards",10000,30,880,TRUE,0,25,29,16,4,3,12,10,"https://www.kickstarter.com/projects/1529310448/pack-of-dogs-pedigree-poker-uspcc-printed?ref=category","Pack of Dogs Playing Cards: Pedigree Poker — USPCC Printed","A deck of cards about dogs, transformed by an artist's imagination,
where every card tells a story.",TRUE,10000,11699.06,"US","USD","$",2014-10-26,2014-09-26
"811",1068189773,215,0.14477232,5301.5623584,"Nicolai Aarøe","London","England",FALSE,"games","playing cards",5067.0312,23,600,FALSE,0,13,69,16,1,0,8,7,"https://www.kickstarter.com/projects/nicolaiaaroe/artistic-spring-playing-cards?ref=category","Artistic Spring Playing Cards","Modern art interpretation of a 'pastel blooming spring season' in the form of a 100% custom deck of premium poker playing cards. (LPCC)",TRUE,35000,36620,"DK","DKK","kr",2015-05-14,2015-04-21
"812",1070655065,206,1.45209116,7373.71891048,"Ian Daniels","Chart Sutton","England",FALSE,"games","playing cards",726.04558,36,969,FALSE,0,19,33,24,0,0,18,8,"https://www.kickstarter.com/projects/iandaniels/gothik?ref=category","GOTHIK","A lavish hand-painted gothic themed deck of playing cards, featuring beautiful artwork of Vampires, Dark Angels and Night Creatures.",TRUE,500,5078,"GB","GBP","£",2016-03-23,2016-02-16
"816",1079263890,597,1,15731,"Traina Design","San Diego","CA",FALSE,"games","playing cards",13000,30,553,TRUE,0,12,50,16,2,0,10,10,"https://www.kickstarter.com/projects/1412659828/borderline-playing-cards-printed-by-uspc?ref=category","Borderline Playing Cards, printed by USPC","Borderline is a deck of custom playing cards that celebrate the vibrant culture on both sides of the southern border.",TRUE,13000,15731,"US","USD","$",2014-06-04,2014-05-05
"817",1080497614,8,1,469,"Jason M. Shepherd","Mendota","IL",FALSE,"games","playing cards",600,21,389,TRUE,0,2,0,6,8,1,3,1,"https://www.kickstarter.com/projects/778947199/strain-wars-playing-cards-vol-1?ref=category","Strain Wars: Playing cards Vol. 1","3 decks away from the next price drop ($25). 
Strain Wars: taking different strains of marijuana to battle to see which is top strain.",FALSE,600,469,"US","USD","$",2016-10-09,2016-09-18
"818",1080679508,174,1,5888,"Natalia Silva","Glen Gardner","NJ",FALSE,"games","playing cards",3000,30,523,FALSE,0,17,32,27,0,0,10,1,"https://www.kickstarter.com/projects/393497409/love-is-playing-cards-0?ref=category","""Love is ..."" Playing Cards","""Love is..."" is a beautiful deck of playing cards inspired by Love.",TRUE,3000,5888,"US","USD","$",2015-03-26,2015-02-24
"819",1081188449,123,1.49285148,12129.418275,"James Anthony","Greater Manchester","England",FALSE,"games","playing cards",11942.81184,30,746,TRUE,0,16,20,11,0,1,19,5,"https://www.kickstarter.com/projects/aquatica/aquatica-exclusive-playing-cards?ref=category","AQUATICA // Exclusive Playing Cards","This superior Phoenix quality USPCC deck will flow through your fingertips... Exclusive Playing Cards - Back Now!",TRUE,8000,8125,"GB","GBP","£",2016-01-03,2015-12-04
"822",1084652887,211,1,4863,"Collectable Playing Cards","Lexington","KY",FALSE,"games","playing cards",4000,30,272,FALSE,0,1,5,6,0,0,5,11,"https://www.kickstarter.com/projects/2104052526/bicycle-koi-playing-cards?ref=category","Bicycle Koi Playing Cards","It is time to relax with The Bicycle Koi Playing Cards",TRUE,4000,4863,"US","USD","$",2018-02-10,2018-01-11
"823",1087999779,36,1.13726052,1271.45726136,"Dylan Mastrominico","Naples","Campania",FALSE,"games","playing cards",7392.19338,30,831,TRUE,0,1,1,11,0,0,7,1,"https://www.kickstarter.com/projects/1991308007/selene-playing-cards-printed-by-lpcc?ref=category","SELENE PLAYING CARDS printed by LPCC","A casinò deck inspired by the moon phases, a perfect mix of modern and vintage design, printed by Legends Playing Card Co.",FALSE,6500,1118,"IT","EUR","€",2017-08-04,2017-07-05
"825",1091755390,107,1,2305,"Collectable Playing Cards","Lexington","KY",FALSE,"games","playing cards",5000,30,253,FALSE,0,0,0,3,0,0,5,11,"https://www.kickstarter.com/projects/2104052526/bicycle-antiques-playing-cards?ref=category","Bicycle Antiques Playing Cards","Travel back in time with the Bicycle Antiques Deck",FALSE,5000,2305,"US","USD","$",2018-07-08,2018-06-08
"827",1093809810,270,1,9862,"Randy Butterfield (Midnight Cards)","Indianapolis","IN",FALSE,"games","playing cards",8000,10,678,FALSE,0,18,59,6,2,0,12,16,"https://www.kickstarter.com/projects/randybutterfield/glow-in-the-dark-playing-cards-cosmic-lanes-deck?ref=category","GLOW-IN-THE-DARK Playing Cards: Cosmic Lanes Deck","Inspired by the Cosmic Bowling sensation, the Cosmic Lanes Deck features Glow-in-the-Dark Ink and some subtle Stop-Motion Animation.",TRUE,8000,9862,"US","USD","$",2015-04-30,2015-04-20
"829",1095129867,305,1,18465,"Conflicted: The Survival Card Game","Fresno","CA",FALSE,"games","playing cards",8000,30,544,TRUE,0,13,41,20,0,0,15,5,"https://www.kickstarter.com/projects/1212939996/patriot-playing-cards-1?ref=category","Patriot Playing Cards","Help us spread the ideals of the American Founding Fathers – Which are small government and a free and self reliant people.",TRUE,8000,18465,"US","USD","$",2015-03-21,2015-02-19
"830",1095722711,310,0.71688442,11929.31519101,"Flagrant Agenda","Singapore","Central Singapore",FALSE,"games","playing cards",3584.4221,30,1226,FALSE,0,17,99,34,0,0,16,21,"https://www.kickstarter.com/projects/flagrantagenda/agenda-playing-cards?ref=category","Agenda Playing Cards","Contemporary playing cards characterized by symbols of change and transformation. Fully customized. Limited Edition.",TRUE,5000,16640.5,"SG","SGD","$",2017-05-18,2017-04-18
"833",1103765064,144,1,5698,"Natalia Silva","Los Angeles","CA",FALSE,"games","playing cards",3000,7,265,FALSE,0,6,50,7,0,0,14,1,"https://www.kickstarter.com/projects/393497409/muertos-playing-cards?ref=category","""MUERTOS"" Playing Cards","""MUERTOS"" is a custom deck of playing cards inspired by the Day of the Dead Celebration. Printed by USPCC",TRUE,3000,5698,"US","USD","$",2017-07-22,2017-07-15
"835",1105089917,15,1,400,"Mitchell Lee","Beacon","NY",FALSE,"games","playing cards",10000,30,533,TRUE,0,1,3,3,0,0,3,5,"https://www.kickstarter.com/projects/1330876571/cards-thatll-get-you-fired?ref=category","Cards That'll Get You Fired","Cards That'll Get You Fired is a free card game you play at work during the work day or at office meetings.",FALSE,10000,400,"US","USD","$",2015-07-15,2015-06-15
"836",1105322889,82,1.16398717,2722.56599063,"Software Design Knights","Karlsruhe","Baden-Wurttemberg",FALSE,"games","playing cards",1920.5788305,42,1159,FALSE,3,3,9,4,0,0,7,5,"https://www.kickstarter.com/projects/designdudes/design-cards-improving-discussions-of-software-dev?ref=category","Design Cards: improving discussions of software developers","The Design Cards are a set of playing cards helping software developers to improve discussions by providing sound arguments.",TRUE,1650,2339,"DE","EUR","€",2018-08-01,2018-06-20
"837",1105589396,238,1,14658,"Ember Waves (UnTied States)","Phoenix","AZ",FALSE,"games","playing cards",13500,45,637,TRUE,0,19,30,22,0,3,11,5,"https://www.kickstarter.com/projects/1095850670/the-untied-states-capitalists-playing-cards-by-emb?ref=category","UnTied States ""Capitalists"" Playing Cards (EPCC) Ember Waves","Ember Waves and The UnTied States Playing Cards bring you the 100% Custom ""Capitalists"" Deck",TRUE,13500,14658,"US","USD","$",2015-06-23,2015-05-09
"838",1105908460,432,1,15581,"Playing Cards Dot Net","Dallas","TX",FALSE,"games","playing cards",10000,30,795,TRUE,0,4,28,23,0,0,15,11,"https://www.kickstarter.com/projects/308247697/bicycle-hercules-playing-cards-deck?ref=category","Bicycle® Hercules Playing Cards Deck","A Deck of 100 % Custom Playing Cards based on the Roman Hero & God ""Hercules"". Printed by USPCC & Distributed by Gamblers Warehouse !!",TRUE,10000,15581,"US","USD","$",2018-06-09,2018-05-10
"839",1106118820,15,1,321,"My Greekdom (deleted)","Norfolk","VA",FALSE,"games","playing cards",2534,45,703,FALSE,1,0,0,7,0,0,18,1,"https://www.kickstarter.com/projects/mygreekdom/alpha-kappa-psi-limited-edition-playing-cards?ref=category","Alpha Kappa Psi - LIMITED EDITION Playing Cards","Enjoy the hand you're dealt with My Greekdom's luxury playing cards inspired by the brothers of Alpha Kappa Psi Business Fraternity.",FALSE,2534,321,"US","USD","$",2017-08-15,2017-07-01
"841",1109307044,29,1,3433,"Megan Berg","Longmont","CO",FALSE,"games","playing cards",8000,30,929,TRUE,0,2,2,17,2,0,9,5,"https://www.kickstarter.com/projects/532228803/therapy-decks-playing-cards-for-speech-and-languag?ref=category","Therapy Decks: Playing Cards for Speech and Language Therapy","Gorgeous, versatile, and fun materials that offer engaging opportunities for people to meet their speech and language goals.",FALSE,8000,3433,"US","USD","$",2016-03-02,2016-02-01
"842",1110019650,258,1.33212022,10740.419091783,"Ace Collectable Cards","Wales","England",FALSE,"games","playing cards",8658.78143,31,870,TRUE,0,20,104,28,0,0,19,10,"https://www.kickstarter.com/projects/399370135/horroar-playing-cards-0?ref=category","HorROAR! Playing Cards","From the darkest recesses of your nightmares comes the inspiration for Ace Collectable Cards latest deck of cards.",TRUE,6500,8062.65,"GB","GBP","£",2016-10-12,2016-09-11
"843",1115489163,169,1,9473,"Collectable Playing Cards","Lexington","KY",FALSE,"games","playing cards",15000,30,659,FALSE,0,3,17,20,0,0,12,11,"https://www.kickstarter.com/projects/2104052526/bicycle-four-seasons-playing-cards?ref=category","Bicycle Four Seasons Playing Cards","Enjoy all the seasons all year long with Bicycle Four Seasons Playing Cards",FALSE,15000,9473,"US","USD","$",2017-07-29,2017-06-29
"844",1115946880,771,0.78517711,28932.99132639,"Bhavesh & Reena Mistry","Montreal","QC",FALSE,"games","playing cards",16488.71931,32,1412,TRUE,4,9,80,29,2,0,14,1,"https://www.kickstarter.com/projects/humbleraja/kings-of-india-playing-cards?ref=category","Kings of India Playing Cards","Custom-illustrated playing cards inspired by India’s four greatest dynasties to share the marvels and monarchs of India’s story.",TRUE,21000,36849,"CA","CAD","$",2015-08-16,2015-07-15
"845",1117246294,102,1.21611005,2365.33404725,"SVI GROUP","Coventry","England",FALSE,"games","playing cards",608.055025,25,1017,FALSE,1,9,59,33,0,0,9,8,"https://www.kickstarter.com/projects/svi/the-star-kings-playing-cards-1?ref=category","The Star Kings playing cards","Playing cards of a premium class, created on the basis of space opera.",TRUE,500,1945,"GB","GBP","£",2017-04-04,2017-03-10
"846",1117544274,42,1.19192211,2410.06650642,"Cardistry","Hamburg","Hamburg",FALSE,"games","playing cards",6555.571605,30,121,FALSE,0,2,0,11,0,0,16,9,"https://www.kickstarter.com/projects/669926474/spyx?ref=category","SPIKES","This is a set of  customized poker playing Cards. Printed by USPCC.",FALSE,5500,2022,"DE","EUR","€",2018-06-11,2018-05-12
"848",1119134355,118,1,3519,"Jason Nguyen","Los Angeles","CA",FALSE,"games","playing cards",9000,30,504,FALSE,0,15,7,4,18,1,12,1,"https://www.kickstarter.com/projects/jasonnguyendesigns/foil-standard-edition-playing-cards?ref=category","Foil Standard Edition Playing Cards","Modern luxury playing cards designed for the players. Presented by Jason Nguyen Designs.",FALSE,9000,3519,"US","USD","$",2016-04-11,2016-03-12
"849",1122293161,276,1,14249,"Jessica Feinberg","Tucson","AZ",FALSE,"games","playing cards",4500,30,853,TRUE,0,33,61,14,0,0,13,2,"https://www.kickstarter.com/projects/jessicafeinberg/fire-dragons-and-other-rare-creatures-book-and-pla?ref=category","Fire Dragons & Other Rare Creatures Book & Playing Cards","A book, deck of playing cards, & more! FIRE themed with dragons & other flame/ember creatures including hell hounds and fire nymphs!",TRUE,4500,14249,"US","USD","$",2014-10-31,2014-10-01
"850",1122870038,533,1,24177,"Elite Playing Cards","Rancho Cordova","CA",FALSE,"games","playing cards",5000,15,1025,TRUE,1,8,147,16,0,1,13,14,"https://www.kickstarter.com/projects/elitecards/codex-bicycle-playing-cards-deck?ref=category","Codex Bicycle® Playing Cards Deck","Bicycle® Codex. 56 Luxury Hand-crafted Playing Cards. Elite's Signature Collection. Limited Edition.",TRUE,5000,24177,"US","USD","$",2017-07-26,2017-07-11
"852",1125503088,90,1,3883,"Doug Frye","Vienna","VA",FALSE,"games","playing cards",1500,30,1299,FALSE,1,10,6,16,0,0,11,15,"https://www.kickstarter.com/projects/1761852825/aesir-foil-tuck-playing-cards?ref=category","AEsir Foil Tuck Playing Cards","Beautiful AEsir playing cards upgraded to foil tucks! I will personally hand-assemble the decks.",TRUE,1500,3883,"US","USD","$",2017-09-08,2017-08-09
"855",1128186485,49,1,1261,"Logan Theobald","Whitmore","CA",FALSE,"games","playing cards",13000,28,653,TRUE,0,1,7,1,0,0,13,1,"https://www.kickstarter.com/projects/13605147/trash-playing-cards-0?ref=category","Trash Playing Cards","We designed cards for cardistry using the least amount of effort possible.",FALSE,13000,1261,"US","USD","$",2018-03-01,2018-02-01
"857",1129080705,263,1,9777,"Collectable Playing Cards","Huntley","IL",FALSE,"games","playing cards",7500,35,434,FALSE,0,1,22,24,0,0,9,12,"https://www.kickstarter.com/projects/2104052526/bicycle-essence-playing-cards?ref=category","Bicycle Essence Playing Cards","The Bicycle Essence and Essence Lux Playing Cards are beautifully crafted to catch the eye while staying true to classic courts",TRUE,7500,9777,"US","USD","$",2014-12-25,2014-11-20
"858",1129321204,408,1.68274813,12487.4719429544,"Human After All","Greater London","England",FALSE,"games","playing cards",6730.99252,33,995,TRUE,13,15,81,19,0,0,7,8,"https://www.kickstarter.com/projects/humanafterall/cult-movie-cards?ref=category","Cult Movie Cards","The world’s coolest illustrated movie-themed deck of playing cards, inspired by cult films.",TRUE,4000,7420.88,"GB","GBP","£",2014-06-22,2014-05-20
"859",1132133245,267,1,15436.5,"Jessica Feinberg","Tucson","AZ",FALSE,"games","playing cards",3000,30,1228,TRUE,0,24,62,17,0,0,20,4,"https://www.kickstarter.com/projects/jessicafeinberg/ice-dragons-and-arctic-creatures-playing-cards-and?ref=category","Ice Dragons & Arctic Creatures - Playing Cards & Books","A deck of playing cards, a fully illustrated book, and much more! Featuring Ice Dragons & other rare arctic creatures.",TRUE,3000,15436.5,"US","USD","$",2016-01-21,2015-12-22
"860",1133876183,153,1,3673,"Mike Guistolise","Lexington","KY",FALSE,"games","playing cards",6000,30,325,FALSE,0,1,10,9,0,0,5,11,"https://www.kickstarter.com/projects/cpc2/bicycle-year-of-the-dog-playing-cards-printed-by-u?ref=category","Bicycle Year Of The Dog Playing Cards printed by USPCC","According to the Chinese zodiac, Feb. 16 will mark the start of the year of dog. These playing cards dedicated to the year of the dog!",FALSE,6000,3673,"US","USD","$",2018-03-16,2018-02-14
"862",1139597527,129,1,2479,"Collectable Playing Cards","Huntley","IL",TRUE,"games","playing cards",6000,30,617,FALSE,0,2,10,16,0,0,7,10,"https://www.kickstarter.com/projects/2104052526/bicycle-day-of-the-dead-playing-cards?ref=category","Bicycle Day of The Dead Playing Cards","12 Months To Create - Discover the colorful painted art that celebrates Día de Muertos. A Mexican holiday observed around the world.",FALSE,6000,2479,"US","USD","$",2014-08-26,2014-07-27
"864",1143832548,82,0.82163058,3505.07605428,"Gaudreau Steve","Blainville","QC",FALSE,"games","playing cards",3491.929965,35,1270,FALSE,0,28,104,22,0,0,20,1,"https://www.kickstarter.com/projects/1627453715/royal-skeletons-playing-cards-deck?ref=category","Royal Skeletons Playing Cards Deck  *See Update #19*","Gorgeous mix of hand drawn and digital creation deck of 54 regular poker size playing cards. This is the Royal Skeleton deck
*Updated*",TRUE,4250,4266,"CA","CAD","$",2015-05-31,2015-04-26
"865",1145022630,315,1,12215.03,"David Goldklang","San Francisco","CA",TRUE,"games","playing cards",12000,25,363,FALSE,0,17,77,14,0,0,10,13,"https://www.kickstarter.com/projects/goldklangdesign/duel-playing-cards-vanda-artists-series?ref=category","Duel Playing Cards  |  Vanda Artists Series","A Harlequin-inspired deck of playing cards designed by Joelle Wall. 
Printed in the USA by USPCC. Limited Edition of 2500 decks.",TRUE,12000,12215.03,"US","USD","$",2015-10-19,2015-09-24
"866",1145198394,38,0.68453954,648.94348392,"MajorKeyStudios","Halifax","NS",FALSE,"games","playing cards",1505.986988,30,78,FALSE,0,1,2,0,0,0,6,1,"https://www.kickstarter.com/projects/136266283/rude-playing-cards-platinum-series?ref=category","Playing Card","A twist on playing cards",FALSE,2200,948,"CA","CAD","$",2016-02-20,2016-01-21
"868",1148436339,30,0.74916188,979.90373904,"Dice And Stuff","Windsor","QC",FALSE,"games","playing cards",1872.9047,30,501,TRUE,0,3,3,9,0,0,5,1,"https://www.kickstarter.com/projects/850426476/escape-the-pole?ref=category","Escape The Pole","Escape The Pole is a fast paced, cutthroat, strategy card game where you play a disgruntled elf who is trying to flee the North Pole.",FALSE,2500,1308,"CA","CAD","$",2015-12-24,2015-11-24
"871",1150584997,101,1.09241981,3195.32794425,"Camouflame","Florence","Tuscany",FALSE,"games","playing cards",2184.83962,30,217,FALSE,0,8,14,8,0,0,8,10,"https://www.kickstarter.com/projects/camouflame/littlebigheart-playing-cards?ref=category","LittleBigHeart | Playing Cards","A clean and simple deck of playing cards.  (Kickstarter Exclusive)
SUPER! Invite a friend and get another deck for free.",TRUE,2000,2925,"IT","EUR","€",2016-02-11,2016-01-12
"873",1153200031,9,1,206,"Craft Beer Chaos","Long Island","NY",FALSE,"games","playing cards",4000,45,509,FALSE,0,0,0,0,0,0,5,20,"https://www.kickstarter.com/projects/2042899815/craft-beer-chaos-card-game?ref=category","Craft Beer Chaos - Card Game","Craft Beer Chaos is the ""Card Game for Beer Lovers"". CBC is 52 cards, 39 beers, 13 bonus cards and lots of chaos. Grab a beer and play!",FALSE,4000,206,"US","USD","$",2017-04-07,2017-02-21
"875",1159267947,127,1,9552,"Jessica Feinberg","Tucson","AZ",FALSE,"games","playing cards",1000,23,1060,FALSE,0,18,44,11,0,0,19,5,"https://www.kickstarter.com/projects/jessicafeinberg/dragon-scale-playing-cards-special-edition?ref=category","Dragon Scale Playing Cards (Special Edition)","Three special edition decks of dragon themed playing card in metal tins, Art Collector Cards, and a 200 page book!",TRUE,1000,9552,"US","USD","$",2015-08-27,2015-08-04
"876",1159588435,98,1,3365,"Natalia Silva","Los Angeles","CA",FALSE,"games","playing cards",500,6,266,FALSE,0,4,20,17,0,0,4,1,"https://www.kickstarter.com/projects/393497409/love-cards?ref=category","""LOVE"" Cards","""Love"" is the perfect gift, a super sweet and fun deck of playing cards all inspired by love.",TRUE,500,3365,"US","USD","$",2018-01-28,2018-01-22
"880",1166185655,209,0.75984782,14117.21264778,"Abolina Art","Sydney","NSW",FALSE,"games","playing cards",8358.32602,30,1601,TRUE,5,25,93,27,0,0,17,1,"https://www.kickstarter.com/projects/1932537931/vizago-playing-cards-relaunch?ref=category","VIZAĜO Playing Cards ♥ Relaunch","54 custom playing cards with original and colourful artwork by Annette Abolins. A deck for you to enjoy and cherish. Printed by Legends",TRUE,11000,18579,"AU","AUD","$",2017-07-28,2017-06-28
"881",1166327634,105,1,2364,"Undefined Knowledge","Brooklyn","NY",FALSE,"games","playing cards",1500,8,812,TRUE,0,8,0,11,0,0,7,8,"https://www.kickstarter.com/projects/undefinedknowledge/cat-playing-cards-2nd-edition?ref=category","CAT Playing Cards - 2nd Edition","Our 2nd Edition of custom designed, artfully stylized Cat playing cards. Purrfect for Cat lovers of all ages.",TRUE,1500,2364,"US","USD","$",2015-07-01,2015-06-23
"883",1167729701,214,1,7617,"RJ Tomlinson","Towanda","PA",FALSE,"games","playing cards",6000,25,1378,TRUE,0,11,33,15,0,0,18,11,"https://www.kickstarter.com/projects/2060803491/gettysburg-playing-cards?ref=category","Gettysburg Playing Cards","Playing cards based on the battle that defined America. Find out how you can own a piece of history",TRUE,6000,7617,"US","USD","$",2015-02-15,2015-01-21
"890",1173532836,131,0.74839824,2793.77062992,"kL&nL","Burnaby","BC",FALSE,"games","playing cards",13471.16832,32,574,FALSE,0,6,8,10,1,0,7,1,"https://www.kickstarter.com/projects/1533743857/acutas-relaunch-modern-playing-cards-for-a-new-age?ref=category","Acutas Relaunch: Modern Playing Cards for a New Age","Modern, semi-minimal playing cards combining medieval and simplistic design elements",FALSE,18000,3733,"CA","CAD","$",2017-01-23,2016-12-22
"892",1174843641,128,1,3600,"Jarek 1:20","Marina del Rey","CA",FALSE,"games","playing cards",1,30,741,FALSE,0,1,12,3,0,1,16,10,"https://www.kickstarter.com/projects/jarek120/disturb-reality-playing-cards-leftovers?ref=category","Disturb Reality Playing Cards [LEFTOVERS]","This project has already been fulfilled. This is just an easy way for me to distribute the leftover Disturb Reality cards and merch.",TRUE,1,3600,"US","USD","$",2016-01-05,2015-12-06
"893",1181324687,70,1,2990,"Paul Guo","Washington","DC",FALSE,"games","playing cards",2500,30,568,FALSE,0,15,7,7,0,0,4,1,"https://www.kickstarter.com/projects/guodori/battle-of-muscles?ref=category","Battle of Muscles","(Hanafuda or Hwatu) Playing cards with the beauty of flowers… and muscles.",TRUE,2500,2990,"US","USD","$",2016-09-23,2016-08-24
"894",1190217322,219,1,5059,"Magic Trick Store","Lexington","KY",FALSE,"games","playing cards",4000,30,316,FALSE,0,1,24,17,0,0,6,12,"https://www.kickstarter.com/projects/980976025/bicycle-conflict-playing-cards?ref=category","Bicycle Conflict Playing Cards","Face the conflict head on with the Bicycle Conflict Playing Cards from Johnny Whaam and Collectable Playing Cards",TRUE,4000,5059,"US","USD","$",2017-05-22,2017-04-22
"895",1192675991,153,1,4525,"Will Roya","Henderson","NV",FALSE,"games","playing cards",4000,30,647,TRUE,0,5,16,24,0,3,9,9,"https://www.kickstarter.com/projects/playingcarddecks/armageddon-post-apocalypse-bicycle-playing-cards-p?ref=category","Armageddon Post-Apocalypse Bicycle Playing Cards Poker Size","100% custom limited edition deck by Greek artist Nick Rovakis. Suitable for all your playing card needs or to add to your collection.",TRUE,4000,4525,"US","USD","$",2018-07-01,2018-06-01
"898",1195475648,285,1,6881,"Will Roya","Henderson","NV",FALSE,"games","playing cards",5000,24,821,TRUE,1,15,36,14,0,1,11,2,"https://www.kickstarter.com/projects/playingcarddecks/monster-bicycle-playing-cards-poker-size-deck-cust?ref=category","Monster Bicycle Playing Cards Poker Size Deck Custom Limited","A new spooky deck of your favorite classic monsters in a fun cartoon style. Limited edition suitable for all uses, games, tricks, etc!",TRUE,5000,6881,"US","USD","$",2018-02-26,2018-02-02
"900",1196366418,439,1,11979,"Emmanuel Valtierra","San Antonio","TX",FALSE,"games","playing cards",5000,35,422,FALSE,0,21,43,14,0,1,16,1,"https://www.kickstarter.com/projects/521277495/japanese-scrolls-playing-cards?ref=category","Japanese Scrolls Playing Cards","The third installment of the ancient culture playing cards by Emmanuel Valtierra Illustrator.",TRUE,5000,11979,"US","USD","$",2016-04-08,2016-03-04
"901",1197015440,309,1.16582591,10061.0776033,"Shuffeld","Eindhoven","North Brabant",FALSE,"games","playing cards",6412.042505,30,1063,TRUE,0,6,33,20,3,1,12,1,"https://www.kickstarter.com/projects/1346593355/kubik-playing-cards-i-by-shuffeld?ref=category","KUBIK PLAYING CARDS I by Shuffeld","Kubik. colorful, blocky and different than normal. 
Manufactured by USPCC on their Bee Crushed Stock
Designed by Menno Brouwers.",TRUE,5500,8630,"NL","EUR","€",2018-08-05,2018-07-06
"903",1197854934,259,1,13248,"Justin Froyd","Phoenix","AZ",FALSE,"games","playing cards",12000,30,905,TRUE,0,12,67,21,0,1,12,13,"https://www.kickstarter.com/projects/86221149/bicycle-wild-west-playing-cards?ref=category","Bicycle - Wild West Playing Cards","Bicycle Wild West Playing Cards. Each court card depicts a Wild West historic character such as Billy the Kid, Wyatt Earp and more.",TRUE,12000,13248,"US","USD","$",2017-12-04,2017-11-04
